"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
122, 1.398581438350000e+00, 2.220446049250313e-16, 1.326445843248802e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876394428341193e+05, 0.000000000000000e+00, 1.150557771336477e+05, 3.021685443037441e+02, 0.000000000000000e+00, 1.875751905151121e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856159229347270e-05, 2.585771237283636e-03, 0.000000000000000e+00, -3.688724173906991e+00, 3.580632708742414e-01, 0.000000000000000e+00
123, 1.441539907040000e+00, 2.220446049250313e-16, 1.326444737405125e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876393639332681e+05, 0.000000000000000e+00, 1.150557455733072e+05, 3.021687133323085e+02, 0.000000000000000e+00, 1.875653424659179e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856160026343749e-05, 2.574525809970433e-03, 0.000000000000000e+00, -3.656708189761562e+00, 3.572835179295766e-01, 0.000000000000000e+00
124, 1.484498375720000e+00, 2.220446049250313e-16, 1.326443717417116e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876392980126795e+05, 0.000000000000000e+00, 1.150557192050718e+05, 3.021688764388465e+02, 0.000000000000000e+00, 1.875571145546800e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856160795416730e-05, 2.563676507448862e-03, 0.000000000000000e+00, -3.625952256324275e+00, 3.565296245722487e-01, 0.000000000000000e+00
125, 1.527456844410000e+00, 2.220446049250313e-16, 1.326442779621654e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876392445288470e+05, 0.000000000000000e+00, 1.150556978115388e+05, 3.021690338868261e+02, 0.000000000000000e+00, 1.875504389433854e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856161537808524e-05, 2.553198607955777e-03, 0.000000000000000e+00, -3.596372494605040e+00, 3.558000315602322e-01, 0.000000000000000e+00
126, 1.570415313100000e+00, 2.220446049250313e-16, 1.326441921341040e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876392028299769e+05, 0.000000000000000e+00, 1.150556811319907e+05, 3.021691856014778e+02, 0.000000000000000e+00, 1.875452342780445e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856162253166605e-05, 2.543068513944682e-03, 0.000000000000000e+00, -3.567889810838652e+00, 3.550932405898571e-01, 0.000000000000000e+00
127, 1.613373781790000e+00, 2.220446049250313e-16, 1.326441140127798e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876391720533310e+05, 0.000000000000000e+00, 1.150556688213324e+05, 3.021693312339903e+02, 0.000000000000000e+00, 1.875413928756078e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856162939846292e-05, 2.533264153679373e-03, 0.000000000000000e+00, -3.540430846064454e+00, 3.544078438468899e-01, 0.000000000000000e+00
128, 1.656332250480000e+00, 2.220446049250313e-16, 1.326440431025779e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876391512941115e+05, 0.000000000000000e+00, 1.150556605176446e+05, 3.021694709628574e+02, 0.000000000000000e+00, 1.875388018032379e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856163598689230e-05, 2.523767385587320e-03, 0.000000000000000e+00, -3.513934508369283e+00, 3.537426931888967e-01, 0.000000000000000e+00
129, 1.699290719170000e+00, 2.220446049250313e-16, 1.326439782947565e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876391405789464e+05, 0.000000000000000e+00, 1.150556562315786e+05, 3.021696073417891e+02, 0.000000000000000e+00, 1.875374643845588e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856164241736571e-05, 2.514568273109191e-03, 0.000000000000000e+00, -3.488363544077375e+00, 3.530972013716586e-01, 0.000000000000000e+00
130, 1.742249187860000e+00, 2.220446049250313e-16, 1.326439181586625e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876391431686885e+05, 0.000000000000000e+00, 1.150556572674754e+05, 3.021697470554441e+02, 0.000000000000000e+00, 1.875377876245060e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856164900507490e-05, 2.505666382878872e-03, 0.000000000000000e+00, -3.463707635853115e+00, 3.524714378355367e-01, 0.000000000000000e+00
131, 1.785207656550000e+00, 2.220446049250313e-16, 1.326438632739616e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876391683227826e+05, 0.000000000000000e+00, 1.150556673291130e+05, 3.021698985105091e+02, 0.000000000000000e+00, 1.875409272453463e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856165614640756e-05, 2.497057015830793e-03, 0.000000000000000e+00, -3.439944999534661e+00, 3.518651699042430e-01, 0.000000000000000e+00
132, 1.828166125240000e+00, 2.220446049250313e-16, 1.326438216023596e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876392301671734e+05, 0.000000000000000e+00, 1.150556920668693e+05, 3.021700584093212e+02, 0.000000000000000e+00, 1.875486463839125e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856166368587364e-05, 2.488689624045263e-03, 0.000000000000000e+00, -3.416928492625598e+00, 3.512749446066903e-01, 0.000000000000000e+00
133, 1.871124593930000e+00, 2.220446049250313e-16, 1.326438133212831e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876393353795789e+05, 0.000000000000000e+00, 1.150557341518316e+05, 3.021701878015636e+02, 0.000000000000000e+00, 1.875617785229266e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856166978690829e-05, 2.480414147336119e-03, 0.000000000000000e+00, -3.394240987166516e+00, 3.506902962763918e-01, 0.000000000000000e+00
134, 1.914083062620000e+00, 2.220446049250313e-16, 1.326438711923307e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876394697615122e+05, 0.000000000000000e+00, 1.150557879046049e+05, 3.021701971385932e+02, 0.000000000000000e+00, 1.875785514711278e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856167022716293e-05, 2.472035338754849e-03, 0.000000000000000e+00, -3.371347701441707e+00, 3.500975495298836e-01, 0.000000000000000e+00
135, 1.957041531310000e+00, 2.220446049250313e-16, 1.326438601877631e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876391053812469e+05, 0.000000000000000e+00, 1.150556421524988e+05, 3.021698394198681e+02, 0.000000000000000e+00, 1.875330711660925e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856165336019573e-05, 2.462985222222417e-03, 0.000000000000000e+00, -3.346712012081438e+00, 3.494564117462781e-01, 0.000000000000000e+00
136, 2.000000000000000e+00, 2.220446049250313e-16, 1.326480976123728e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876519595064173e+05, 0.000000000000000e+00, 1.150607838025669e+05, 3.021736896960740e+02, 0.000000000000000e+00, 1.891374652275355e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856183490590420e-05, 2.456883008706667e-03, 0.000000000000000e+00, -3.330119319248796e+00, 3.490254034290937e-01, 0.000000000000000e+00
