"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
114, 1.054913688830000e+00, 2.220446049250313e-16, 1.326031239264733e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876152163469768e+05, 0.000000000000000e+00, 1.150460865387907e+05, 3.022375637679785e+02, 0.000000000000000e+00, 1.845513494068393e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856484648981800e-05, 8.856637017829192e-04, 0.000000000000000e+00, -2.565279475693515e+01, 1.047430303946475e+01, 0.000000000000000e+00
115, 1.097872157520000e+00, 2.220446049250313e-16, 1.326028916667773e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876144746219310e+05, 0.000000000000000e+00, 1.150457898487724e+05, 3.022373137144485e+02, 0.000000000000000e+00, 1.844587706243171e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856483470070698e-05, 8.834760092749823e-04, 0.000000000000000e+00, -2.551784130896166e+01, 1.046135614816033e+01, 0.000000000000000e+00
116, 1.140830626210000e+00, 2.220446049250313e-16, 1.326026648802782e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876137550832721e+05, 0.000000000000000e+00, 1.150455020333088e+05, 3.022370744995804e+02, 0.000000000000000e+00, 1.843689610467650e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856482342259484e-05, 8.813913736541938e-04, 0.000000000000000e+00, -2.538945426792890e+01, 1.044900404842845e+01, 0.000000000000000e+00
117, 1.183789094900000e+00, 2.220446049250313e-16, 1.326024438478925e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876130565516406e+05, 0.000000000000000e+00, 1.150452226206562e+05, 3.022368442438504e+02, 0.000000000000000e+00, 1.842817734718420e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856481256686940e-05, 8.794044251871796e-04, 0.000000000000000e+00, -2.526726915539395e+01, 1.043721704728398e+01, 0.000000000000000e+00
118, 1.226747563590000e+00, 2.220446049250313e-16, 1.326022287789233e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876123788829175e+05, 0.000000000000000e+00, 1.150449515531670e+05, 3.022366223188275e+02, 0.000000000000000e+00, 1.841971899112763e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856480210390288e-05, 8.775094262954431e-04, 0.000000000000000e+00, -2.515090364309605e+01, 1.042596300037489e+01, 0.000000000000000e+00
119, 1.269706032280000e+00, 2.220446049250313e-16, 1.326020195443755e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876117213718824e+05, 0.000000000000000e+00, 1.150446885487530e+05, 3.022364082775175e+02, 0.000000000000000e+00, 1.841151223426163e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856479201262151e-05, 8.757005907928011e-04, 0.000000000000000e+00, -2.503997658436646e+01, 1.041520923213252e+01, 0.000000000000000e+00
120, 1.312664500970000e+00, 2.220446049250313e-16, 1.326018159595456e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876110832295921e+05, 0.000000000000000e+00, 1.150444332918368e+05, 3.022362017119148e+02, 0.000000000000000e+00, 1.840354722935153e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856478227378967e-05, 8.739722697475168e-04, 0.000000000000000e+00, -2.493411889594990e+01, 1.040492367017719e+01, 0.000000000000000e+00
121, 1.355622969660000e+00, 2.220446049250313e-16, 1.326016178715034e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876104637378422e+05, 0.000000000000000e+00, 1.150441854951369e+05, 3.022360022159247e+02, 0.000000000000000e+00, 1.839581501209512e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856477286826178e-05, 8.723190754566693e-04, 0.000000000000000e+00, -2.483298068124839e+01, 1.039507560666270e+01, 0.000000000000000e+00
122, 1.398581438350000e+00, 2.220446049250313e-16, 1.326014252004872e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876098623747895e+05, 0.000000000000000e+00, 1.150439449499158e+05, 3.022358094230219e+02, 0.000000000000000e+00, 1.838830906907797e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856476377875779e-05, 8.707359488560431e-04, 0.000000000000000e+00, -2.473623493556090e+01, 1.038563612122651e+01, 0.000000000000000e+00
123, 1.441539907040000e+00, 2.220446049250313e-16, 1.326012379320235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876092787925053e+05, 0.000000000000000e+00, 1.150437115170021e+05, 3.022356230006261e+02, 0.000000000000000e+00, 1.838102505761392e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856475498959800e-05, 8.692181749761947e-04, 0.000000000000000e+00, -2.464357812333895e+01, 1.037657819300089e+01, 0.000000000000000e+00
124, 1.484498375720000e+00, 2.220446049250313e-16, 1.326010561305056e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876087127737014e+05, 0.000000000000000e+00, 1.150434851094805e+05, 3.022354425736777e+02, 0.000000000000000e+00, 1.837396026560650e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856474648309993e-05, 8.677613409182508e-04, 0.000000000000000e+00, -2.455472731202464e+01, 1.036787647147459e+01, 0.000000000000000e+00
125, 1.527456844410000e+00, 2.220446049250313e-16, 1.326008799601893e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876081641149814e+05, 0.000000000000000e+00, 1.150432656459925e+05, 3.022352675540970e+02, 0.000000000000000e+00, 1.836711215435460e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856473823153793e-05, 8.663612610890885e-04, 0.000000000000000e+00, -2.446941535561798e+01, 1.035950685075158e+01, 0.000000000000000e+00
126, 1.570415313100000e+00, 2.220446049250313e-16, 1.326007096570118e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876076324221533e+05, 0.000000000000000e+00, 1.150430529688613e+05, 3.022350969899191e+02, 0.000000000000000e+00, 1.836047580373069e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856473019003037e-05, 8.650139626770895e-04, 0.000000000000000e+00, -2.438738973395400e+01, 1.035144639885755e+01, 0.000000000000000e+00
127, 1.613373781790000e+00, 2.220446049250313e-16, 1.326005453591077e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876071169770991e+05, 0.000000000000000e+00, 1.150428467908396e+05, 3.022349298116932e+02, 0.000000000000000e+00, 1.835404225050961e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856472230815651e-05, 8.637159111536041e-04, 0.000000000000000e+00, -2.430842586506579e+01, 1.034367470687527e+01, 0.000000000000000e+00
128, 1.656332250480000e+00, 2.220446049250313e-16, 1.326003868639505e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876066174904151e+05, 0.000000000000000e+00, 1.150426469961660e+05, 3.022347661769484e+02, 0.000000000000000e+00, 1.834780788248340e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856471459334345e-05, 8.624646328094438e-04, 0.000000000000000e+00, -2.423236434449758e+01, 1.033617758999030e+01, 0.000000000000000e+00
129, 1.699290719170000e+00, 2.220446049250313e-16, 1.326002337112000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876061369714129e+05, 0.000000000000000e+00, 1.150424547885651e+05, 3.022346102973420e+02, 0.000000000000000e+00, 1.834181026052693e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856470724415648e-05, 8.612594695308574e-04, 0.000000000000000e+00, -2.415915620263480e+01, 1.032895157057516e+01, 0.000000000000000e+00
130, 1.742249187860000e+00, 2.220446049250313e-16, 1.326000865746940e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876056869244154e+05, 0.000000000000000e+00, 1.150422747697662e+05, 3.022344727265252e+02, 0.000000000000000e+00, 1.833619297642182e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856470075816439e-05, 8.601010823014814e-04, 0.000000000000000e+00, -2.408883319623822e+01, 1.032200093339447e+01, 0.000000000000000e+00
131, 1.785207656550000e+00, 2.220446049250313e-16, 1.325999509390061e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876052911178528e+05, 0.000000000000000e+00, 1.150421164471411e+05, 3.022343659410326e+02, 0.000000000000000e+00, 1.833125269701668e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856469572359375e-05, 8.589868801309387e-04, 0.000000000000000e+00, -2.402123322083056e+01, 1.031531056500949e+01, 0.000000000000000e+00
132, 1.828166125240000e+00, 2.220446049250313e-16, 1.325998441663632e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876049773545081e+05, 0.000000000000000e+00, 1.150419909418032e+05, 3.022342795843307e+02, 0.000000000000000e+00, 1.832733644413802e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856469165217005e-05, 8.578997728437986e-04, 0.000000000000000e+00, -2.395532685909612e+01, 1.030877923951161e+01, 0.000000000000000e+00
133, 1.871124593930000e+00, 2.220446049250313e-16, 1.325997971752368e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876047418891700e+05, 0.000000000000000e+00, 1.150418967556680e+05, 3.022341392484544e+02, 0.000000000000000e+00, 1.832439747174475e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856468503581135e-05, 8.567928460486952e-04, 0.000000000000000e+00, -2.388830055780862e+01, 1.030212835791825e+01, 0.000000000000000e+00
134, 1.914083062620000e+00, 2.220446049250313e-16, 1.325998741838216e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876045510648860e+05, 0.000000000000000e+00, 1.150418204259544e+05, 3.022337631925268e+02, 0.000000000000000e+00, 1.832201568890185e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856466730604750e-05, 8.555881005555479e-04, 0.000000000000000e+00, -2.381546836422733e+01, 1.029489566546047e+01, 0.000000000000000e+00
135, 1.957041531310000e+00, 2.220446049250313e-16, 1.325995987038615e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876027294343424e+05, 0.000000000000000e+00, 1.150410917737369e+05, 3.022324767998896e+02, 0.000000000000000e+00, 1.829927891617146e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856460665690840e-05, 8.541298767473661e-04, 0.000000000000000e+00, -2.372797171433097e+01, 1.028614177711480e+01, 0.000000000000000e+00
136, 2.000000000000000e+00, 2.220446049250313e-16, 1.326094427158410e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876322942729247e+05, 0.000000000000000e+00, 1.150529177091699e+05, 3.022411075753103e+02, 0.000000000000000e+00, 1.866829392746439e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.856501356688423e-05, 8.544002319345606e-04, 0.000000000000000e+00, -2.374354810242381e+01, 1.028792594021524e+01, 0.000000000000000e+00
